id;station;year;month;day;hour;minutes_p;p_arr_sec;p_polarity;p_onset;minutes_s;s_arr_sec;s_polarity;s_onset;ts_tp;minutes_origin;seconds_origin;p_travel;s_travel;vp_vs
2719;ML06;2023;01;03;03;43;21.8559761;+;I;43;22.44179726;?;E;0.585821;43;21.055045;0.800931;1.386752;1.731623722
2719;ML11;2023;01;03;03;43;21.96260643;+;E;43;22.62031937;?;E;0.657713;43;21.055045;0.907561;1.565274;1.731623722
2719;ML09;2023;01;03;03;43;22.06692123;+;E;43;22.8198967;?;E;0.752976;43;21.055045;1.011876;1.764852;1.731623722
2719;ML13;2023;01;03;03;43;22.17757797;+;E;43;22.99262619;?;E;0.815048;43;21.055045;1.122533;1.937581;1.731623722
2720;ML06;2023;01;03;03;52;6.59244013;+;I;52;7.11426115;?;E;0.521821;52;5.878296;0.714144;1.235965;1.729168175
2720;ML11;2023;01;03;03;52;6.73200798;+;E;52;7.34943676;?;E;0.617429;52;5.878296;0.853712;1.471141;1.729168175
2720;ML09;2023;01;03;03;52;6.82520008;+;E;52;7.52838326;?;E;0.703183;52;5.878296;0.946904;1.650087;1.729168175
2720;ML13;2023;01;03;03;52;6.90197134;+;E;52;7.63778257;?;E;0.735812;52;5.878296;1.023675;1.759487;1.729168175
2720;ML05;2023;01;03;03;52;7.14397764;+;E;52;8.06874371;?;E;0.924766;52;5.878296;1.265682;2.190448;1.729168175
2721;ML06;2023;01;03;03;52;21.74541283;+;I;52;22.26509094;?;E;0.519678;52;21.087911;0.657502;1.17718;1.792686057
2721;ML04;2023;01;03;03;52;21.78512383;-;E;52;22.33276558;?;E;0.547642;52;21.087911;0.697213;1.244855;1.792686057
2721;ML11;2023;01;03;03;52;21.87615776;+;E;52;22.51122475;?;E;0.635067;52;21.087911;0.788247;1.423314;1.792686057
2721;ML09;2023;01;03;03;52;21.96701241;+;E;52;22.63616371;?;E;0.669152;52;21.087911;0.879101;1.548253;1.792686057
2721;ML13;2023;01;03;03;52;22.09162521;+;E;52;22.91524696;?;E;0.823622;52;21.087911;1.003714;1.827336;1.792686057
2721;ML10;2023;01;03;03;52;22.12499237;+;E;52;22.96084023;?;E;0.835848;52;21.087911;1.037081;1.872929;1.792686057
2721;ML05;2023;01;03;03;52;22.30411148;-;E;52;23.25042534;?;E;0.946314;52;21.087911;1.2162;2.162514;1.792686057
2722;ML06;2023;01;03;03;52;35.43860245;+;I;52;35.95814514;?;E;0.519543;52;34.711476;0.727126;1.246669;1.721507472
2722;ML11;2023;01;03;03;52;35.56962585;+;I;52;36.20056152;?;E;0.630936;52;34.711476;0.85815;1.489086;1.721507472
2722;ML09;2023;01;03;03;52;35.65933228;+;I;52;36.33716583;?;E;0.677834;52;34.711476;0.947856;1.62569;1.721507472
2722;ML13;2023;01;03;03;52;35.76277924;+;E;52;36.52066422;?;E;0.757885;52;34.711476;1.051303;1.809188;1.721507472
2723;ML06;2023;01;03;04;02;21.1686306;+;I;02;21.70345306;?;E;0.534822;2;20.421297;0.747334;1.282156;1.721364451
2723;ML11;2023;01;03;04;02;21.31275749;-;E;02;21.95441246;?;E;0.641655;2;20.421297;0.89146;1.533115;1.721364451
2723;ML09;2023;01;03;04;02;21.39428902;+;E;02;22.1088047;?;E;0.714516;2;20.421297;0.972992;1.687508;1.721364451
2723;ML13;2023;01;03;04;02;21.54994965;-;E;02;22.35717773;?;E;0.807228;2;20.421297;1.128653;1.935881;1.721364451
2724;ML06;2023;01;03;04;04;22.30739975;+;I;04;22.82921219;?;E;0.521812;4;21.587969;0.719431;1.241243;1.732555107
2724;ML11;2023;01;03;04;04;22.47887421;-;E;04;23.14661598;?;E;0.667742;4;21.587969;0.890905;1.558647;1.732555107
2724;ML09;2023;01;03;04;04;22.53520203;+;I;04;23.22158623;?;E;0.686384;4;21.587969;0.947233;1.633617;1.732555107
2724;ML13;2023;01;03;04;04;22.67664909;+;E;04;23.47179031;?;E;0.795141;4;21.587969;1.08868;1.883821;1.732555107
2725;ML06;2023;01;03;04;04;29.29013062;+;I;04;29.81581497;?;E;0.525684;4;28.554428;0.735703;1.261387;1.7000826
2725;ML11;2023;01;03;04;04;29.41122437;+;E;04;29.99354744;?;E;0.582323;4;28.554428;0.856796;1.439119;1.7000826
2725;ML09;2023;01;03;04;04;29.52688789;+;I;04;30.20961189;?;E;0.682724;4;28.554428;0.97246;1.655184;1.7000826
2725;ML13;2023;01;03;04;04;29.62627602;+;E;04;30.38161087;?;E;0.755335;4;28.554428;1.071848;1.827183;1.7000826
2726;ML06;2023;01;03;04;06;46.59182358;+;I;06;47.11270905;?;E;0.520885;6;45.770161;0.821663;1.342548;1.636897252
2726;ML11;2023;01;03;04;06;46.74464798;-;E;06;47.37171173;?;E;0.627064;6;45.770161;0.974487;1.601551;1.636897252
2726;ML09;2023;01;03;04;06;46.84093857;-;E;06;47.51883316;?;E;0.677894;6;45.770161;1.070778;1.748672;1.636897252
2726;ML13;2023;01;03;04;06;46.96931076;-;E;06;47.73314285;?;E;0.763832;6;45.770161;1.19915;1.962982;1.636897252
2727;ML06;2023;01;03;04;10;34.01960373;-;E;10;34.55299377;?;E;0.53339;10;33.29888;0.720724;1.254114;1.743592987
2727;ML11;2023;01;03;04;10;34.16250992;+;E;10;34.8139801;?;E;0.65147;10;33.29888;0.86363;1.5151;1.743592987
2727;ML09;2023;01;03;04;10;34.19445419;-;E;10;34.85443878;?;E;0.659985;10;33.29888;0.895574;1.555559;1.743592987
2727;ML13;2023;01;03;04;10;34.38054276;-;E;10;35.18407059;?;E;0.803528;10;33.29888;1.081663;1.885191;1.743592987
2728;ML06;2023;01;04;20;11;39.99661636;+;I;11;40.51836014;?;E;0.521744;11;39.233455;0.763161;1.284905;1.682863658
2728;ML14;2023;01;04;20;11;40.05903625;+;E;11;40.63029099;?;E;0.571255;11;39.233455;0.825581;1.396836;1.682863658
2728;ML11;2023;01;04;20;11;40.08301544;+;I;11;40.67428589;?;E;0.591271;11;39.233455;0.84956;1.440831;1.682863658
2728;ML09;2023;01;04;20;11;40.2077713;+;I;11;40.85777283;?;E;0.650002;11;39.233455;0.974316;1.624318;1.682863658
2728;ML13;2023;01;04;20;11;40.32408142;+;E;11;41.06460571;?;E;0.740525;11;39.233455;1.090626;1.831151;1.682863658
2728;ML08;2023;01;04;20;11;40.37716675;-;E;11;41.14788437;?;E;0.770717;11;39.233455;1.143712;1.914429;1.682863658
2728;ML05;2023;01;04;20;11;40.6673317;+;E;11;41.65706253;?;E;0.989731;11;39.233455;1.433877;2.423608;1.682863658
2729;ML06;2023;01;04;20;16;16.25125694;+;I;16;16.77647209;?;E;0.525215;16;15.54544;0.705817;1.231032;1.724363804
2729;ML14;2023;01;04;20;16;16.30624962;-;E;16;16.86454582;?;E;0.558296;16;15.54544;0.76081;1.319106;1.724363804
2729;ML04;2023;01;04;20;16;16.31904602;-;E;16;16.85432434;?;E;0.535278;16;15.54544;0.773606;1.308884;1.724363804
2729;ML11;2023;01;04;20;16;16.34020805;+;I;16;16.91936874;?;E;0.579161;16;15.54544;0.794768;1.373929;1.724363804
2729;ML09;2023;01;04;20;16;16.42837524;+;I;16;17.06641579;?;E;0.638041;16;15.54544;0.882935;1.520976;1.724363804
2729;ML13;2023;01;04;20;16;16.58658981;+;I;16;17.36162376;?;E;0.775034;16;15.54544;1.04115;1.816184;1.724363804
2729;ML08;2023;01;04;20;16;16.63771248;-;E;16;17.41034508;?;E;0.772633;16;15.54544;1.092272;1.864905;1.724363804
2729;ML10;2023;01;04;20;16;16.71000481;+;E;16;17.53848648;?;E;0.828481;16;15.54544;1.164565;1.993046;1.724363804
2729;ML05;2023;01;04;20;16;16.81616592;-;E;16;17.75145149;?;E;0.935285;16;15.54544;1.270726;2.206011;1.724363804
2730;ML14;2023;01;04;20;17;10.35313225;+;E;17;10.82474709;?;E;0.471615;17;9.686772;0.66636;1.137975;1.726047655
2730;ML06;2023;01;04;20;17;10.38152981;+;I;17;10.88881493;?;E;0.507285;17;9.686772;0.694758;1.202043;1.726047655
2730;ML11;2023;01;04;20;17;10.53215313;+;I;17;11.14621162;?;E;0.614059;17;9.686772;0.845381;1.45944;1.726047655
2730;ML09;2023;01;04;20;17;10.63515663;+;I;17;11.33660698;?;E;0.70145;17;9.686772;0.948385;1.649835;1.726047655
2730;ML13;2023;01;04;20;17;10.76075554;+;I;17;11.54423332;?;E;0.783477;17;9.686772;1.073984;1.857461;1.726047655
2730;ML08;2023;01;04;20;17;10.8532877;-;E;17;11.70626259;?;E;0.852975;17;9.686772;1.166516;2.019491;1.726047655
2730;ML05;2023;01;04;20;17;10.96471405;+;E;17;11.87900352;?;E;0.91429;17;9.686772;1.277942;2.192232;1.726047655
2731;ML06;2023;01;04;20;18;23.63318253;+;E;18;24.15397835;?;E;0.520795;18;22.910912;0.722271;1.243066;1.720437062
2731;ML14;2023;01;04;20;18;23.69818306;-;E;18;24.26931572;?;E;0.571133;18;22.910912;0.787271;1.358404;1.720437062
2731;ML11;2023;01;04;20;18;23.7185421;+;E;18;24.29957771;?;E;0.581036;18;22.910912;0.80763;1.388666;1.720437062
2731;ML09;2023;01;04;20;18;23.8116169;+;I;18;24.45415306;?;E;0.642536;18;22.910912;0.900705;1.543241;1.720437062
2731;ML13;2023;01;04;20;18;23.97442627;+;E;18;24.74339867;?;E;0.768973;18;22.910912;1.063514;1.832487;1.720437062
2732;ML10;2023;01;07;01;45;59.27966309;-;E;46;0.56311375;?;E;1.283451;45;57.491895;1.787768;3.071219;1.722682056
2732;ML05;2023;01;07;01;45;59.41578674;+;E;46;0.81814575;?;E;1.402359;45;57.491895;1.923892;3.326251;1.722682056
2732;ML13;2023;01;07;01;45;59.58304977;-;E;46;1.10289764;?;E;1.519848;45;57.491895;2.091155;3.611003;1.722682056
2732;ML08;2023;01;07;01;45;59.58514404;-;E;46;1.08310699;?;E;1.497963;45;57.491895;2.093249;3.591212;1.722682056
2732;ML14;2023;01;07;01;45;59.68038559;-;E;46;1.27908909;?;E;1.598703;45;57.491895;2.188491;3.787194;1.722682056
2732;ML09;2023;01;07;01;45;59.70856094;-;E;46;1.33404219;?;E;1.625481;45;57.491895;2.216666;3.842147;1.722682056
2732;ML04;2023;01;07;01;45;59.75146103;+;E;46;1.35513258;?;E;1.603672;45;57.491895;2.259566;3.863238;1.722682056
2732;ML11;2023;01;07;01;45;59.79003906;-;E;46;1.42748344;?;E;1.637444;45;57.491895;2.298144;3.935588;1.722682056
2732;ML06;2023;01;07;01;45;59.89531708;-;I;46;1.64694977;?;E;1.751633;45;57.491895;2.403422;4.155055;1.722682056
2733;ML06;2023;01;11;13;28;51.50953674;+;I;28;52.06161118;?;E;0.552074;28;50.740224;0.769313;1.321387;1.740635466
2733;ML14;2023;01;11;13;28;51.58297348;+;E;28;52.21886444;?;E;0.635891;28;50.740224;0.842749;1.47864;1.740635466
2733;ML11;2023;01;11;13;28;51.71071243;+;E;28;52.44458389;?;E;0.733872;28;50.740224;0.970488;1.70436;1.740635466
2733;ML09;2023;01;11;13;28;51.93740082;+;I;28;52.81496429;?;E;0.877563;28;50.740224;1.197177;2.07474;1.740635466
2734;ML09;2023;01;13;11;01;29.21836853;-;E;01;29.73932457;?;E;0.520956;1;28.505694;0.712675;1.233631;1.718676606
2734;ML13;2023;01;13;11;01;29.58573151;-;E;01;30.33250999;?;E;0.746778;1;28.505694;1.080038;1.826816;1.718676606
2734;ML05;2023;01;13;11;01;29.74182701;-;E;01;30.65085411;?;E;0.909027;1;28.505694;1.236133;2.14516;1.718676606
2735;ML06;2023;01;14;03;46;51.10464859;+;I;46;52.72226334;?;E;1.617614;46;48.662213;2.442436;4.06005;1.665242402
2735;ML11;2023;01;14;03;46;51.61243057;+;E;46;53.60326385;?;E;1.990833;46;48.662213;2.950218;4.941051;1.665242402
2735;ML14;2023;01;14;03;46;51.63420486;+;E;46;53.61183548;?;E;1.97763;46;48.662213;2.971992;4.949622;1.665242402
2735;ML08;2023;01;14;03;46;51.69950485;-;E;46;53.70166779;?;E;2.002163;46;48.662213;3.037292;5.039455;1.665242402
2735;ML09;2023;01;14;03;46;51.71305084;+;E;46;53.7401619;?;E;2.027111;46;48.662213;3.050838;5.077949;1.665242402
2735;ML13;2023;01;14;03;46;51.96146011;-;I;46;54.15710068;?;E;2.195641;46;48.662213;3.299247;5.494888;1.665242402
2735;ML12;2023;01;14;03;46;52.07452011;+;E;46;54.35651016;?;E;2.28199;46;48.662213;3.412307;5.694297;1.665242402
2735;ML05;2023;01;14;03;46;52.17618179;-;E;46;54.50025177;?;E;2.32407;46;48.662213;3.513969;5.838039;1.665242402
2736;ML06;2023;01;16;16;17;37.50069046;-;E;17;38.70994949;?;E;1.209259;17;35.850668;1.650022;2.859281;1.734018762
2736;ML09;2023;01;16;16;17;38.28046417;-;E;17;40.08019257;?;E;1.799729;17;35.850668;2.429796;4.229525;1.734018762
2736;ML13;2023;01;16;16;17;38.33507538;+;E;17;40.14701843;?;E;1.811943;17;35.850668;2.484407;4.29635;1.734018762
2736;ML05;2023;01;16;16;17;38.59398651;-;E;17;40.60496902;?;E;2.010982;17;35.850668;2.743319;4.754301;1.734018762
2737;ML06;2023;01;20;13;29;11.92016315;+;E;29;12.4874506;?;E;0.567288;29;10.995867;0.924296;1.491584;1.60116583
2737;ML11;2023;01;20;13;29;12.01852036;+;E;29;12.61610126;?;E;0.597581;29;10.995867;1.022653;1.620234;1.60116583
2737;ML09;2023;01;20;13;29;12.17011356;-;E;29;12.87284184;?;E;0.702728;29;10.995867;1.174247;1.876975;1.60116583
2737;ML13;2023;01;20;13;29;12.20434761;-;E;29;12.93960381;?;E;0.735256;29;10.995867;1.208481;1.943737;1.60116583
2738;ML06;2023;01;20;18;30;1.09069848;+;E;30;1.59439325;?;E;0.503695;30;0.389163;0.701535;1.20523;1.725983438
2738;ML14;2023;01;20;18;30;1.17032349;-;E;30;1.74615502;?;E;0.575832;30;0.389163;0.78116;1.356992;1.725983438
2738;ML11;2023;01;20;18;30;1.26615059;+;E;30;1.90170217;?;E;0.635551;30;0.389163;0.876988;1.512539;1.725983438
2738;ML09;2023;01;20;18;30;1.34644234;+;E;30;2.03428602;?;E;0.687844;30;0.389163;0.957279;1.645123;1.725983438
2738;ML13;2023;01;20;18;30;1.49635279;-;E;30;2.30513668;?;E;0.808784;30;0.389163;1.10719;1.915974;1.725983438
2738;ML08;2023;01;20;18;30;1.54782009;-;E;30;2.38377333;?;E;0.835953;30;0.389163;1.158657;1.99461;1.725983438
2738;ML05;2023;01;20;18;30;1.70432889;-;E;30;2.68193412;?;E;0.977605;30;0.389163;1.315166;2.292771;1.725983438
2738;ML12;2023;01;20;18;30;1.79641187;-;E;30;2.80060267;?;E;1.004191;30;0.389163;1.407249;2.41144;1.725983438
