id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2719;-1.642671208;101.1477492;738949.405;9818306.548;1778.977;-1778.977;2023;1;3;3;43;21.060478;0.0118604;-0.193;-0.205;
2720;-1.64374837;101.1469482;738860.119;9818187.5;1409.659;-1409.659;2023;1;3;3;52;5.867815;0.016168;0.208;0.099;
2721;-1.643479007;101.1472153;738889.881;9818217.262;1438.068;-1438.068;2023;1;3;3;52;21.01233;0.0170796;0.536;0.423;
2722;-1.643283202;101.1416669;738272.321;9818239.583;1459.375;-1459.375;2023;1;3;3;52;34.718919;0.00632568;-0.022;0.01;
2723;-1.644555881;101.1466817;738830.357;9818098.214;1438.068;-1438.068;2023;1;3;4;2;20.432468;0.00629531;-0.399;-0.385;
2724;-1.645908182;101.1402659;738116.071;9817949.405;1352.841;-1352.841;2023;1;3;4;4;21.585562;0.0128069;-0.457;-0.388;
2725;-1.641596368;101.1464111;738800.595;9818425.595;1438.068;-1438.068;2023;1;3;4;4;28.581875;0.0168025;-0.674;-0.47;
2726;-1.64428941;101.1442749;738562.5;9818127.976;1352.841;-1352.841;2023;1;3;4;6;45.889533;0.00597847;-0.596;-0.474;
2727;-1.644558195;101.1445426;738592.262;9818098.214;1523.295;-1523.295;2023;1;3;4;10;33.275259;0.023298;-0.703;-0.229;
2728;-1.641398094;101.1431355;738436.012;9818447.917;1388.352;-1388.352;2023;1;4;20;11;39.306357;0.0242727;-0.245;-0.129;
2729;-1.64502306;101.1500913;739209.821;9818046.131;408.239;-408.239;2023;1;4;20;16;15.528078;0.0295162;0.508;0.288;
2730;-1.645297204;101.1454124;738688.988;9818016.369;1246.307;-1246.307;2023;1;4;20;17;9.67851;0.0139404;-0.045;-0.093;
2731;-1.63890102;101.1506864;739276.786;9818723.214;1381.25;-1381.25;2023;1;4;20;18;22.917837;0.0189708;-0.264;-0.123;
2732;-1.604119062;101.0903548;732565.476;9822577.381;5798.864;-5798.864;2023;1;7;1;45;57.6496;0.0489832;1.087;0.547;
2733;-1.650897175;101.1299768;736970.238;9817398.81;1026.136;-1026.136;2023;1;11;13;28;50.704563;0.0105423;-0.051;-0.061;
2734;-1.624499205;101.1566871;739946.429;9820315.476;1878.409;-1878.409;2023;1;13;11;1;28.559345;0.00873351;-0.414;-0.39;
2735;-1.656448815;101.2195551;746940.476;9816773.81;4179.545;-4179.545;2023;1;14;3;46;49.141968;0.0729635;0.943;0.385;
2736;-1.602636877;101.2194962;746940.476;9822726.19;2702.273;-2702.273;2023;1;16;16;17;35.970092;0.0479251;0.128;-0.083;
2737;-1.640233615;101.1624526;740586.31;9818574.405;699.432;-699.432;2023;1;20;13;29;11.150597;0.0123503;-0.191;-0.281;
2738;-1.645911357;101.1373247;737788.69;9817949.405;1125.568;-1125.568;2023;1;20;18;30;0.401614;0.0239999;-0.028;-0.355;
2739;-1.640810417;101.1266238;736598.214;9818514.881;1466.477;-1466.477;2023;1;20;19;10;25.475061;0.0204048;-0.69;-0.487;
2740;-1.645832745;101.1478194;738956.845;9817956.845;777.557;-777.557;2023;1;20;19;10;36.283115;0.0297609;2.753;1.777;
2741;-1.64268275;101.1370538;737758.929;9818306.548;1381.25;-1381.25;2023;1;20;19;11;19.279425;0.0197003;0.353;0.279;
2742;-1.638039715;101.1384527;737915.179;9818819.94;1573.011;-1573.011;2023;1;20;19;11;38.501021;0.00450076;-0.1;-0.023;
2743;-1.64757881;101.1504951;739254.464;9817763.393;195.17;-195.17;2023;1;20;19;11;46.676237;0.0368585;0.471;0.263;
2744;-1.646243158;101.1415363;738257.44;9817912.202;862.784;-862.784;2023;1;20;19;12;2.030897;0.0544063;0.766;0.459;
2745;-1.639789269;101.1379198;737855.655;9818626.488;1501.989;-1501.989;2023;1;20;19;12;14.276939;0.014175;-0.165;-0.155;
2746;-1.632240262;101.1518156;739403.274;9819459.821;1004.83;-1004.83;2023;1;20;19;12;28.0348;0.00282624;-0.257;-0.062;
2747;-1.644281011;101.152029;739425.595;9818127.976;188.068;-188.068;2023;1;20;19;12;41.323753;0.0337519;0.344;0.203;
2748;-1.638643189;101.1402582;738116.071;9818752.976;1494.886;-1494.886;2023;1;20;19;12;45.262693;0.0117154;0.22;0.178;
2749;-1.6384426;101.1391216;737989.583;9818775.298;1686.648;-1686.648;2023;1;20;19;12;58.835718;0.00164623;-0.468;-0.263;
2750;-1.648321443;101.1480226;738979.167;9817681.548;-436.932;436.932;2023;1;20;19;13;8.839181;0.0204114;0.387;0.132;
2751;-1.648870599;101.1378626;737848.214;9817622.024;614.205;-614.205;2023;1;20;19;13;21.506448;0.0407888;-0.02;-0.046;
2752;-1.642428877;101.1228821;736181.548;9818336.31;699.432;-699.432;2023;1;20;19;13;50.402804;0.0127297;-0.607;-0.404;
2753;-1.639376298;101.1466093;738822.917;9818671.131;1573.011;-1573.011;2023;1;20;19;13;59.390315;0.0204958;-0.308;-0.214;
2754;-1.649429759;101.1183439;735675.595;9817562.5;-1658.523;1658.523;2023;1;20;19;14;13.716008;0.0241408;-0.68;-0.909;
2755;-1.63641995;101.1433976;738465.774;9818998.512;1672.443;-1672.443;2023;1;20;19;14;47.333894;0.00762593;-0.346;-0.123;
2756;-1.641338245;101.1362503;737669.643;9818455.357;1438.068;-1438.068;2023;1;20;19;14;51.059533;0.024748;0.13;0.126;
2757;-1.641066581;101.1386564;737937.5;9818485.119;1125.568;-1125.568;2023;1;20;19;15;4.101917;0.00840513;-0.366;-0.226;
2758;-1.641797663;101.1468793;738852.679;9818403.274;919.602;-919.602;2023;1;20;19;15;37.731384;0.0259307;0.407;0.278;
2759;-1.643005745;101.1494207;739135.417;9818269.345;834.375;-834.375;2023;1;20;19;15;47.737166;0.0246548;1.171;0.758;
2760;-1.64508823;101.1520299;739425.595;9818038.69;500.568;-500.568;2023;1;20;19;16;4.247137;0.0309856;0.239;0.108;
2761;-1.647789392;101.142407;738354.167;9817741.071;557.386;-557.386;2023;1;20;19;16;23.417889;0.0291654;-0.193;-0.113;
2762;-1.637554211;101.1520218;739425.595;9818872.024;1494.886;-1494.886;2023;1;20;19;16;33.000061;0.0184275;-0.256;-0.295;
2763;-1.643750395;101.1450765;738651.786;9818187.5;841.477;-841.477;2023;1;20;19;16;54.105593;0.0336449;1.049;0.626;
2764;-1.634606502;101.1407886;738175.595;9819199.405;1551.705;-1551.705;2023;1;20;19;17;18.689686;0.0134739;-0.51;-0.276;
2765;-1.644886928;101.1515618;739373.512;9818061.012;266.193;-266.193;2023;1;20;19;17;23.406839;0.024856;0.266;0.147;
2766;-1.645964091;101.1507608;739284.226;9817941.964;536.08;-536.08;2023;1;20;19;17;53.291722;0.0318111;0.337;0.19;
