id,lat,lon,utm_x_m,utm_y_m,depth_m,elev_m,year,month,day,hour,minute,second,dt_origin,rms_error,ml_mag,mw_mag,remarks
2719,-1.6434209,101.1489502,739082.998,9818223.481,1249.99,-1249.99,2023,1,3,3,43,21.0499992,2023-01-03 03:43:21.050000,0.0107954,-0.193,-0.205,WCC
2720,-1.6475184,101.1403158,738121.435,9817771.295,1045.52,-1045.52,2023,1,3,3,52,5.8299999,2023-01-03 03:52:05.830000,0.0110358,0.208,0.099,WCC
2721,-1.6438067,101.1472982,738899.0711,9818181.006,1055.55,-1055.55,2023,1,3,3,52,21.0300007,2023-01-03 03:52:21.030000,0.0108171,0.536,0.423,WCC
2722,-1.6452386,101.1435384,738480.4055,9818023.075,1062.8,-1062.8,2023,1,3,3,52,34.7299995,2023-01-03 03:52:34.730000,0.0101293,-0.022,0.01,WCC
2723,-1.645241,101.1504232,739246.7381,9818021.985,952.7,-952.7,2023,1,3,4,2,20.4300003,2023-01-03 04:02:20.430000,0.0139349,-0.399,-0.385,WCC
2724,-1.6466532,101.1346273,737488.367,9817867.673,924.09,-924.09,2023,1,3,4,4,21.5900002,2023-01-03 04:04:21.590000,0.0093032,-0.457,-0.388,WCC
2725,-1.6447175,101.1457682,738728.6615,9818080.447,967.61,-967.61,2023,1,3,4,4,28.6100006,2023-01-03 04:04:28.610000,0.0114348,-0.674,-0.47,WCC
2726,-1.644553,101.1510824,739320.1945,9818098.005,913.24,-913.24,2023,1,3,4,6,45.9000015,2023-01-03 04:06:45.900000,0.0138295,-0.596,-0.474,WCC
2727,-1.6455223,101.1533936,739577.3346,9817990.514,1299.45,-1299.45,2023,1,3,4,10,33.1800003,2023-01-03 04:10:33.180000,4e-06,-0.703,-0.229,WCC
2728,-1.6435599,101.1486898,739053.9968,9818208.138,1225.7,-1225.7,2023,1,4,20,11,39.2799988,2023-01-04 20:11:39.280000,0.0134438,-0.245,-0.129,WCC
2729,-1.6471684,101.1483073,739010.9915,9817809.051,776.98,-776.98,2023,1,4,20,16,15.5200005,2023-01-04 20:16:15.520000,0.0147628,0.508,0.288,WCC
2730,-1.6490246,101.1434245,738467.277,9817604.324,1002.56,-1002.56,2023,1,4,20,17,9.6199999,2023-01-04 20:17:09.620000,0.0137984,-0.045,-0.093,WCC
2731,-1.6434279,101.1496745,739163.6177,9818222.62,1187.97,-1187.97,2023,1,4,20,18,22.8999996,2023-01-04 20:18:22.900000,0.0097536,-0.264,-0.123,WCC
2732,-1.5915755,101.0992106,733552.5968,9823963.759,4947.44,-4947.44,2023,1,7,1,45,57.6500015,2023-01-07 01:45:57.650000,4.4e-06,1.087,0.547,Reloc
2733,-1.6549478,101.13479,737505.4914,9816950.203,146.55,-146.55,2023,1,11,13,28,50.7099991,2023-01-11 13:28:50.710000,0.0212017,-0.051,-0.061,Reloc
2734,-1.624499205,101.1566871,739946.429,9820315.476,1878.409,-1878.409,2023,1,13,11,1,28.559345,2023-01-13 11:01:28.559350,0.00873351,-0.414,-0.39,Initial
2735,-1.656448815,101.2195551,746940.476,9816773.81,4179.545,-4179.545,2023,1,14,3,46,49.141968,2023-01-14 03:46:49.141970,0.0729635,0.943,0.385,Initial
2736,-1.602636877,101.2194962,746940.476,9822726.19,2702.273,-2702.273,2023,1,16,16,17,35.970092,2023-01-16 16:17:35.970090,0.0479251,0.128,-0.083,Initial
2737,-1.6420769,101.1519694,739419.2201,9818371.779,1097.42,-1097.42,2023,1,20,13,29,11.1700001,2023-01-20 13:29:11.170000,0.0130297,-0.191,-0.281,WCC
2738,-1.6467169,101.1461507,738770.9988,9817859.249,1011.26,-1011.26,2023,1,20,18,30,0.4,2023-01-20 18:30:00.400000,0.0142788,-0.028,-0.355,WCC
2739,-1.6447942,101.1295247,736920.6327,9818073.9,891.48,-891.48,2023,1,20,19,10,25.4599991,2023-01-20 19:10:25.460000,6.7e-06,-0.69,-0.487,WCC
2740,-1.6468829,101.1491536,739105.2255,9817840.528,870.78,-870.78,2023,1,20,19,10,36.2400017,2023-01-20 19:10:36.240000,0.015396,2.753,1.777,WCC
2741,-1.6438023,101.1463379,738792.1825,9818181.608,1206.02,-1206.02,2023,1,20,19,11,19.2800007,2023-01-20 19:11:19.280000,0.0093232,0.353,0.279,WCC
2742,-1.6432636,101.1410156,738199.8331,9818241.829,1447.16,-1447.16,2023,1,20,19,11,38.4599991,2023-01-20 19:11:38.460000,0.0123424,-0.1,-0.023,WCC
2743,-1.6468976,101.1492025,739110.6667,9817838.896,728.14,-728.14,2023,1,20,19,11,46.6800003,2023-01-20 19:11:46.680000,0.0132929,0.471,0.263,WCC
2744,-1.6466731,101.1465088,738810.8633,9817864.051,771.63,-771.63,2023,1,20,19,12,2.0799999,2023-01-20 19:12:02.080000,0.0150994,0.766,0.459,WCC
2745,-1.6443633,101.1459554,738749.5405,9818119.602,1242.0,-1242.0,2023,1,20,19,12,14.2799997,2023-01-20 19:12:14.280000,0.0104113,-0.165,-0.155,WCC
2746,-1.6464616,101.1551432,739771.9676,9817886.408,838.33,-838.33,2023,1,20,19,12,28.0,2023-01-20 19:12:28.000000,0.0003396,-0.257,-0.062,WCC
2747,-1.6464197,101.1484538,739027.3874,9817891.846,636.35,-636.35,2023,1,20,19,12,41.3600006,2023-01-20 19:12:41.360000,0.0151944,0.344,0.203,WCC
2748,-1.6426037,101.1470459,738871.1311,9818314.099,1341.78,-1341.78,2023,1,20,19,12,45.2400017,2023-01-20 19:12:45.240000,0.010594,0.22,0.178,WCC
2749,-1.6446424,101.141626,738267.6116,9818089.249,1421.93,-1421.93,2023,1,20,19,12,58.7999992,2023-01-20 19:12:58.800000,0.0117269,-0.468,-0.263,WCC
2750,-1.6472293,101.1495361,739147.7595,9817802.167,539.05,-539.05,2023,1,20,19,13,8.8599997,2023-01-20 19:13:08.860000,0.0122144,0.387,0.132,WCC
2751,-1.6481019,101.1446533,738604.1617,9817706.236,885.89,-885.89,2023,1,20,19,13,21.4799995,2023-01-20 19:13:21.480000,0.0138435,-0.02,-0.046,WCC
2752,-1.6413704,101.130835,737066.8819,9818452.444,1112.33,-1112.33,2023,1,20,19,13,50.4000015,2023-01-20 19:13:50.400000,0.0024814,-0.607,-0.404,WCC
2753,-1.641072,101.1494141,739134.9133,9818483.236,1209.97,-1209.97,2023,1,20,19,13,59.4199982,2023-01-20 19:13:59.420000,0.0115036,-0.308,-0.214,WCC
